"＃" "漢字" "Meaning" "Story or Image" "As component" "Examples"     
"三十三" "大" "BIG | UNIVERSITY" "To make yourself look big, spread your arms and stand with legs wide apart. University is a place for big ideas."  "大金：だいきん" "大きい：おおきい" "大いに：おおいに" "大人：おとな" "東大：とうだい" 
"三十四" "小" "SMALL" "To make yourself look small, stand with feet together and hang your arms down"  "小の月：しょうのつき" "大小：だいしょう" "小口：こぐち" "小川：おがわ" "小さい：ちいさい" 
"三十五" "中" "MIDDLE | IN, throughout | CHINA" "Right down the middle; then you are IN the middle. Don't confuse with #328 央 (centre)"  "中東：ちゅうとう" "中ヒール：ちゅうヒール" "中に：なかに" "日中：にっちゅう"  
"三十六" "生" "LIFE, grow | BE BORN, give birth to | STUDENT" "A leaf, a new branch: the tree has sprouted from the soil and is growing up. For people, growing up means learning; being a student"  "人生：じんせい" "一生：いっしょう" "生ビール：なまビール" "生まれる：うまれる" "東大生：とうだいせい" 
"三十七" "山" "MOUNTAIN" "Three towering mountain peaks"  "火山：かざん" "山水：さんすい" "山川：さんせん" "小山：こやま" "山々：やまやま" 
"三十八" "出" "GO OUT | PUT OUT" "Two mountains with peaks aligned; the upper one 'goes out' from the lower one, the lower one is 'put out' by the upper one"  "出る：でる" "出口：でぐち" "日の出：ひので" "出す：だす" "出生：しゅっしょう、しゅっせい" 
"三十九" "入" "ENTER | PUT IN" "Two rivers joining; the first one Enters the second. Strokes are drawn destination to source"  "入る：いる、はいる" "入口：いりぐち" "入れる：いれる" "入金：にゅうきん"  
"四十" "下" "DOWN, lower below" "From the baseline, there is a 'Downward drop' – drop is the 3rd stroke"  "下水：げすい" "目下：めした、もっか" "川下：かわしも" "川田さんの下に：かわださんのもとに"  
"四十一" "上" "UP, rise, raise, above" "Go Up to the next level from the baseline"  "上下：じょうげ" "目上：めうえ" "川上：かわかみ" "上げる：あげる" "上る：のぼる" 
"四十二" "止" "STOP" "A two toed left footprint (the second stroke suggests a big toe) – left in the ground when coming to a Stop "  "中止する：ちゅうしする" "止まる：とまる" "とまり木：とまりぎ" "止める：とめる、やめる"  
"四十三" "正" "RIGHT, upright, correct, exact" "The footprint stops Exactly at the line – this is the Right and Correct thing to do."  "正本：せいほん" "大正：たいしょう" "正月：しょうがつ" "正しい：ただしい" "正に：まさに" 
"四十四" "足" "FOOT, leg; step | SUFFICE" "A mouth, torso, outstretched arms on a person: ""My FEET and LEGS hurt from walking! Have we not walked Sufficiently?"""  "一足：いっそく、ひとあし" "足下：あしもと" "土足：どそく" "千円で足りる：せんえんでたりる"  
"四十五" "定" "FIX, decide, settle" "Arriving to a House – the sore walker is Fixed, Settled. They stop complaining (mouth closes) and can Decide what to do next."  "一定する：いっていする" "定規：じょうぎ（６２４）" "さ定める：さだめる" "定め：さだめ" "定かに：さだかに" 
"四十六" "手" "HAND, arm; labour; skill | PERFORMER (of action) , ""__ER""" "A spread hand – middle finger, then index and ring, thumb and pinky, then wrist"  "入手する：にゅうしゅする" "手中に：しゅちゅうに" "上手な：じょうずな" "下手な：へたな" "人手：ひとで" "やり手：やりて"
"四十七" "用" "EMPLOY, use | THINGS TO DO, business" "An upside down bucket or basket, which is Used (Employed) when one has Things to do."  "用いる：もちいる" "用人：ようにん" "用水：ようすい" "日用：にちよう" "用がある：ようがある" 
"四十八" "無" "WITHOUT | NOTHING" "Picture the grill of a fireplace. Without fire, Nothing would happen, so we add flames below it"  "無人の：むじんの" "無用：むよう" "無にする：むにする" "お金が無い：おかねがない" "無口：むくち" 
"四十九" "不" "NOT, un__" "There is a ceiling above the person. A drop of sweat flies off as they struggle, but they can NOT break the ceiling"  "不用：ふよう" "不正：ふせい" "不定の：ふていの" "不足：ふそく"  
"五十" "回" "TURN ROUND | TIME" "A washing machine – every Time it is used, it Turns around over and over"  "回る：まわる" "回す：まわす" "上回る：うわまわる" "手回り：てまわり" "一回：いっかい" 
"五十一" "言" "SAY | SPEECH, word" "Saying something is an act of communication – sending Words. The lines are words being transmitted upwards, from the mouth"  "言う：いう" "言い回し：いいまわし" "言明：げんめい" "無言：むごん" "一言：ひとこと、いちげん、いちごん" 
"五十二" "舌" "TONGUE" "A common Tongue – shared by a Thousand (千) Mouths"  "舌鋒：ぜっぽう" "舌を出す：したをだす" "下がもつれる：したがもつれる"   
"五十三" "話" "SPEAK" "Speaking means first having Words, and then a Tongue to say them with"  "話す：はなす" "手話：しゅわ" "話し手：はなして" "話し中：はなしちゅう" "話が無い：はなしがない" 
"五十四" "活" "ACTIVE | LIVE, lead one's life" "Water and tongue – one must drink in order to Live. You also need to drink when you are Active."  "活用する：かつようする" "活火山：かつかざん、かっかざん" "生活：せいかつ"   
"五十五" "行" "GO, proceed | ACT, perform | LINE (of print)" "A person and a T glyph which evokes a street intersection. The repeated strokes suggest movement – a person Going down the street, Acting as a pedestrian. The top two strokes also look like Lines on a road."  "行く：いく、ゆく" "行く手：いくて" "行う：おこなう" "言行：げんこう" "二行：にぎょう" 
"五十六" "心" "HEART, mind, centre, core" "The Heart is surrounded by connections – away to the left and toward it from above and right. The heart is closely related to our Mind, and is considered our Centre, and Core"  "本心：ほんしん" "中心：ちゅうしん" "心中：しんちゅう、しんじゅう" "心行くまで：こころいくまで"  
"五十七" "耳" "EAR" "A detailed organ like the eye - but the Ear extends out at the edges. Two strokes cross at the bottom right, like the right earlobe"  "耳目：じもく" "中耳：ちゅうじ" "耳たぶ：みみたぶ"   
"五十八" "又" "AGAIN, also | OR, in other words" "Cross between & and + signs: Again, (boolean algebra) or; on the other Hand" "hand" "又明日：またあした" "又の日：またのひ" "又は：または"   
"五十九" "取" "TAKE" "A hand reaching out to Take someone's ear"  "取水：しゅすい" "取り入れる：とりいれる" "取り上げる：とりあげる" "取り出す：とりだす" "日取り：ひどり" 
"六十" "身" "BODY (somebody) | ONE'S PERSON | SOCIAL POSITION" "This kanji depicts the Body of someone with high Social position: an Elder. See a 'self' that has become 'extended' with age, relying on a cane for support (final stroke)."  "心身：しんしん" "出身：しゅっしん" "身の上：みのうえ" "身の回り：みのまわり" "小身：しょうしん" 
"六十一" "休" "REST, suspend" "A Person, Resting against a tree"  "休日：きゅうじつ" "定休（日）：ていきゅう（び）" "休止：きゅうし" "休み：やすみ"  
"六十二" "体" "BODY | FORM" "The Body is a Person's (physical) Basis. In other words, Form"  "身体：しんたい、からだ" "人体：じんたい" "大体：だいたい" "体の中：からだのなか" "正体：しょうたい" 
"六十三" "信" "BELIEVE, trust | MESSAGE, signal" "A Person hears a Speech and Believes its Message"  "信用：しんよう" "信心：しんじん" "入信：にゅうしん" "不信：ふしん" "信じる・信ずる：しんじる・しんずる" 
"六十四" "付" "ATTACH, be attached to, hand over" "An old man with one arm outstretched, gripping his favourite walking stick which he is so Attached to (hence the 'effort' mark). To Hand over is to transfer attachment"  "付言：ふげん" "付く：つく" "付ける：つける" "付け足す：つけたす" "身に付ける：みにつける" 
"六十五" "受" "RECEIVE, accept" "Top part means 'claw'. Below, a 'cover'. At the bottom is a hand… the covered hand can Receive (Accept) a claw. "  "受信：じゅしん" "受け身：うけみ" "受け入れる：うけいれる" "受付：うけつけ"  
"六十六" "以" "TO THE ___ OF | BY MEANS OF" "A workman holding a pickaxe To The Left Of himself, a sweat drop falling between them. He is living By Means Of his work"  "以下：いか" "以上：いじょう" "二人以上：ふたりいじょう" "これを以て：これをもって"  
"六十七" "立" "STAND | ESTABLISH" "Picture a teapot lid resting on a Stand -  two flat vertical lengths of wood glued to a base, which ensure a stable support is Established."  "中立：ちゅうりつ" "立つ：たつ" "立ち上げる：たちあげる" "立ち話：たちばなし" "立てる：たてる" 
"六十八" "部" "SECTION, division, department" "The right hand glyph means 'city walls' – the division between straight order on the inside and jagged disorder on the outside. A Section or Department of people is a group of Standing Mouths, with 'walls' emphasising the Divison between the orderly members and outside world."  "一部：いちぶ" "上部：じょうぶ" "東部：とうぶ" "部下：ぶか" "〜の部に入る：〜のぶにはいる" 
"六十九" "倍" "TIMES, -fold | DOUBLE" "When a Person Stands, their Mouth will rise to Two Times or Double its previous height."  "人一倍話す：ひといちばいはなす" "二倍：にばい" "二倍以上：にばいいじょう" "倍にする：ばいにする"  
"七十" "成" "BECOME; form | ACHIEVE" "The right hand side represents a decorated spear – the horizontal stoke is shaft, long downward stoke is handle, shorter one is decoration, short stroke is the tip. Left side looks like 'power' – 力. Think of Becoming Powerful enough to wield a Spear – and the decoration shows an Achievement."  "成立する：せいりつする" "大成する：たいせいする" "成人：せいじん" "成る：なる" "成す：なす" 
"七十一" "代" "REPLACE, substitute | GENERATION, age | CHARGE, fare" "A Person and undecorated spear = soldier. The meanings are unified under 'consciption' – a 'Charge' of being a citizen, once someone comes of Age, they Replace the old soldiers as newly conscripted ones. Of course, new conscripts' spears are undecorated"  "代わる：かわる" "代える：かえる" "身の代金：みのしろきん" "大正のよ：たいしょうのよ" "タクシー代：タクシーだい" 
"七十二" "王" "KING" "Horizontal lines are heaven, man and earth; the King unifies those three"  "王手：おうて" "メディア王：メディアおう" "王を立てる：おうをたてる" "王のように：おうのように"  
"七十三" "玉" "GEM; round or spherical object" "The King's (round spherical shaped) gems"  "水玉：みずたま" "百円玉：ひゃくえんだま" "シャポン玉：シャポンだま" "目玉：めだま" "玉に疵：たまにきず" 
"七十四" "宝" "TREASURE" "The kings's most precious Gems are stored in his House to protect them."  "宝玉：ほうぎょく" "東宝スタジオ：とうこうスタジオ" "宝くじ：たからくじ"   
"七十五" "国" "COUNTRY" "A country must ensure the integrity of its Border, to protect its natural riches (gems)"  "王国：おうこく" "国王：こくおう" "国宝：こくほう" "国立：こくりつ" "国々：くにぐに" 
"七十六" "白" "WHITE" "White colour is a 'Drop of Sun'"  "白い：しろい" "白人：はくじん" "白日：はくじつ" "白金：しろがね、はっきん" "明白な：めいはくな" 
"七十七" "皇" "EMPEROR" "An Emperor is like a King but has a White crown "  "皇国：こうこく"     
"七十八" "全" "WHOLE, all" "A king in his castle rules Whole of his kingdom from under one Roof"  "全国：ぜんこく" "全部：ぜんぶ" "万全の：ばんぜんの" "全く：まったく" "全ての：すべての" 
"七十九" "書" "WRITE | BOOK" "First three strokes are the brush. The bottom part comes from 曰 which is archaic for Say. So we have a 'brush' above some pages, connected via a 'stroke' of ink, to Write down what is being Said. A Book is here a product of writing (vs product of a tree from before)"  "書く：かく" "書き取り：かきとり" "信書：しんしょ" "白書：はくしょ" "全書：ぜんしょ" 
"八十" "事" "AFFAIR | ABSTRACT THING" "See 'One' as an Abstract thing, manifested via either the Mouth or the Brush; then these representations are 'joined' together"  "火事：かじ" "無事に：ぶじに" "用事：ようじ" "行く事にする：いくことにする" "書く事が無い：かくことがない" 
"八十一" "自" "SELF" "This kanji will represent 'nose': if 目 is more generally a 'detailed feature' then we can see the top stroke a hint indicating the bridge of the nose. The Japanese refer to the 'self' by pointing at one's nose"  "自白：じはく" "自体：じたい" "自信：じしん" "自明の：じめいの" "自ら：みずから" 
"八十二" "貝" "SHELLFISH" "This detailed feature has animal legs – picture an intricate shell housing a small sea animal with its legs poking out: Shellfish. Shells are a primitive form of currency, suggesting its component meaning" "money, wealth" "宝貝：たからがい" "ほら貝：ほらがい" "貝ボタン：かいボタン"   
"八十三" "見" "SEE" "An Eye on Human legs – we are Seeing beings"  "一見：いっけん" "見る：みる" "見出し：みだし" "見える：みえる" "見せる：みせる" 
"八十四" "力" "POWER, strength, force" "A hefty axeblade on the end of a large handle (second stroke), which requires a lot of Power and Strength to handle properly"  "体力：たいりょく" "活力：かつりょく" "百人力：ひゃくにんりき" "力む：りきむ" "力を入れて：ちからをいれて" 
"八十五" "刀" "SWORD" "This time, picture a Sword worn at the belt. The hilt disappears under the carrier's cloak."  "大刀：たいとう" "小刀：こがたな、しょうとう" "山刀：やまがたな" "日本刀：にほんとう" "刀の付いた：かたなのついた" 
"八十六" "切" "CUT, sharp" "The notion of Cut introduced by 七 is made concrete by the Sword"  "一切の：いっさいの" "大切な：たいせつな" "切る：きる" "切れる：きれる" "ケーキ一切れ：ケーキひときれ" 
"八十七" "刃" "BLADE" "A sword, with a stroke to mark the Blade"  "刀刃 ：とうじん" "白刃：はくじん" "自刃する：じじんする" "刀の刃：かたなのは" "よくきれるは：よくきれるは" 
"八十八" "分" "DIVIDE | PART | MINUTE" "Visualise Dividing or Parting literally – a whole is Split into two parts from the stroke of a Sword. A minute is a 'division' of an hour."  "分ける：わける" "部分：ぶぶん" "身分：みぶん" "自分：じぶん" "二十分：にじゅっぷん、にじっぷん" 
"八十九" "公" "PUBLIC" "See the bottom half as reflexively clenched right arm, to protect oneself and maintain the Split between Public and Private  "  "公の：おおやけの" "公立の：こうりつの" "公定：こうてい" "公言する：こうげんする" "公明：こうめい" 
"九十" "別" "SEPARATE | ANOTHER" "The left side represents a Skeleton, the right side a Sword. Many samurai died because they were Separated from their swords, here is Another one."  "別々に：べつべつに" "分別する：ぶんべつする" "別れる：わかれる" "別人：べつじん" "別の本：べつのほん" 
"九十一" "長" "LONG | CHIEF, senior" "Visualise the top part as hair and the bottom part as the folds of a garment. Picture an old, wise (Long experience) Chief, with Long flowing hair and wearing a dignified garment"  "身長：しんちょう" "成長：せいちょう" "長い：ながい" "長話：ながばなし" "部長：ぶちょう" 
"九十二" "男" "MAN" "Associate 田 with the secondary meaning 'head', then a Man is traditionally a 'Powerful Head' (e.g. of a family)"  "男二人：おとこふたり" "男らしい：おとこらしい" "長男：ちょうなん" "三男：さんなん" "正男：まさお" 
"九十三" "女" "WOMAN" "A Woman in a curtsy, arms held out"  "長女：ちょうじょ" "男女：だんじょ" "皇女：こうじょ" "女人：にょにん" "女の人：おんなのひと" 
"九十四" "子" "CHILD, son | NOUN SUFFIX, small object" "A young child wrapped in a blanket, First see the head poking out the top, then the straight body, then arms held out"  "子女：しじょ" "女子・女の子：じょし・おんなのこ" "男子・男の子：だんし・おとこのこ" "王子：おうじ" "玉子：たまご　（１１４　卵）" 
"九十五" "好" "LIKE | FAVOURABLE" "A woman and her child, whom she Likes and Favours very much"  "好み：このみ" "大好き：だいすき" "女好き：おんなずき" "お人好し：おひとよし" "好事：こうじ" 
"九十六" "安" "PEACEFUL | INEXPENSIVE" "In the comfort of her home, the curtsying woman enjoys the Peaceful mood. The other meaning comes from the financial Peace of mind associated with buying Inexpensive items "  "安心：あんしん" "安定な：あんていな" "安らかな：やすらかな" "安い：やすい" "十円安：じゅうえんやす" 
"九十七" "案" "PROPOSAL, plan, idea" "At her House, a Woman wants to plant a big tree, and Proposes the Idea to her husband"  "案出する：あんしゅつする" "立案する：りつあんする" "案を立てる：あんをたてる" "案の定：あんのじょう" "案ずる・案じる：あんずる・あんじる" 
"九十八" "字" "CHARACTER" "A special Character is given to each Child to represent the House they belong to (i.e. their family name)"  "活字：かつじ" "字体：じたい" "ローマ字：ローマじ" "正字：せいじ" "大きな字：おおきなじ" 
"九十九" "学" "STUDY | SCHOOL" "See the top part as a Schoolhouse; we picture the Studying School Child"  "学力：がくりょく" "学生：がくせい" "学ぶ：まなぶ" "大学：だいがく" "入学する：にゅうがくする" 
"百" "父" "FATHER" "See the cross as a fancy waistcoat, then above we have the bushy eyebrows of a Father"  "父子：ふし" "大父：だいふ" "父の日：ちちのひ" "お父さん：おとうさん"  
"百一" "文" "WRITINGS, learning, culture | LETTER, script" "An old fashioned Literature scholar with top hat and waistcoat. He is a Cultured gentleman, always Learning and Writing"  "文書：ぶんしょ、もんじょ" "文学：ぶんがく" "文明：ぶんめい" "文字：もじ、もんじ"  
"百二" "交" "INTERCOURSE, association | CROSS, intersect, interchange" "The father is also a scholar wearing the top hat – we see the Intersection of the two roles; he is able to Interchange between the two." "associate" "国交：こっこう" "交じる・交ざる：まじる・まざる" "交わす：かわす" "交代する：こうたいする" "交付する：こうふする" 
"百三" "校" "SCHOOL | PROOFREAD" "A School is a Wooden building where we Associate ideas (and have our homework Proofread)"  "学校：がっこう" "小学校：しょうがっこう" "校長：こうちょう" "女子校：じょうしこう" "校正：こうせい" 
"百四" "母" "MOTHER" "Looks like the udder of a Mother cow"  "母子：ぼし" "父母：ふぼ" "母校：ぼこう" "母の日：ははのひ" "お母さん：おかあさん" 
"百五" "毎" "EVERY" "See the top part as 'Person' – every Person has a Mother"  "毎日：まいにち" "毎月：まいつき、まいげつ" "毎回：まいかい" "毎土曜日：まいどようび" "二日毎に：ふつかごとに" 
"百六" "海" "SEA" """The sea is in every drop"""  "大海：だいかい" "海上：かいじょう" "カスピ海：カスピかい" "日本海：にほかい" "海の日：うみのひ" 
"百七" "者" "PERSON, someone" "The top half: under the soil – old. Think of a wrinkled old man who got too much sun"  "信者：しんじゃ" "話者：わしゃ" "学者：がくしゃ" "本学の者です：ほんがくのものです" "よそ者：よそもの" 
"百八" "工" "MANUFACTURE workmanship, work |  CONSTRUCTION" "An I beam, symbol of engineering Workmanship" "work, workmanship" "人工：じんこう" "工学：こうがく" "大工：だいく" "工事：こうじ" "工事中：こうじちゅう" 
"百七" "式" "FORM, style, manner | CEREMONY, rite | FORMULA" "Consider as ""action done according to prescribed form"" – imagine the spear-maker's Workmanship as a Ceremony going back many generations to ensure the spears have the same Form. No decorations here"  "正式に：せいしきに" "〜式に：〜しきに" "成人式：せいじんしき" "入学式：にゅうがくしき" "公式：こうしき" 
"百十" "弐" "TWO (legal documents)" "It's hard to fake two spears"  "金弐 阡円：きんにせんえん"     
"百十一" "武" "MILITARY; warrior" "A Military Warrior throwing One Spear (undecorated), to stop the enemy infiltrator"  "武力：ぶりょく" "武者：むしゃ" "武人：ぶじん" "文武：ぶんぶ"  
"百十二" "糸" "THREAD" "From the single clenched elbow, here we have two small elbows belonging to a child. Imagine this child playing the String game with (thick) cotton Thread" "child (top part)" "金糸：きんし" "一糸もまとわずに：いっしもまとわずに" "生糸：きいと" "糸口：いとぐち" "白い糸：しろいいと" 
"百十三" "前" "BEFORE; ahead" "Imagine aliens with antennas fighting on the Moon with Swords. This of course, would only happen far Ahead into the future; right now we are way Before that time"  "以前：いぜん" "事前：じぜん" "前者：ぜんしゃ" "前回：ぜんかい" "の前に：のまえに" 
"百十四" "後" "AFTER, later, rear, behind" "Let 夊 at the bottom denote walking legs, and recall the top right means child. You want to Go somewhere with this child but they are lagging BEHIND you; you have to drag them AFTER you."  "以後：いご" "事後：じご" "後者：こうしゃ" "後回し：あとまわし" "後ろから：うしろから" 
"百十五" "午" "NOON | (sign of) THE HORSE" "If you squint, this looks like the front half of a horse, facing left"  "午前：ごぜん" "午前中：ごぜんちゅう" "午後：ごご" "正午：しょうご"  
"百十六" "牛" "CATTLE" "See a cow (male bull) as a horse with a horn"  "水牛：すいぎゅう" "牛後：ぎゅうご" "子牛：こうし"   
"百十七" "年" "YEAR" "Imagine the Horse gaining weight from one YEAR to the next"  "年中無休：ねんじゅうむきゅう" "年代：ねんだい" "（生）年月日：（せい）ねんがっぴ" "長年：ながねん" "年上の：としうえの" 
"百十八" "件" "MATTER, case" "A person's cow is their Matter and theirs alone"  "用件：ようけん" "事件：じけん" "案件：あんけん" "五十件：ごじゅっけん、ごじっけん" "その件について：そのけんについて" 
"百十九" "条" "ARTICLE, section, clause; strip"   "条目：じょうもく" "条件：じょうけん" "信条：しんじょう" "条文：じょうぶん" "一条：いちじょう" 
"百二十" "化" "CHANGE INTO, convert" "Right hand side means spoon – imagine a Person with the ability to  Change Into a spoon! How ridiculous!"  "化成：かせい" "化学：かがく" "コンピュータ化：コンピュータか" "化ける：ばける" "化かす：ばかす" 
"百二十一" "花" "FLOWER" "The top part looks like two blades of grass in the ground. Think of a grassy plant Changing Into a Flowering plant in spring"  "国花：こっか" "花見：はなみ" "花火：はなび" "生け花：いけばな" "お花：おはな" 
"百二十二" "北" "NORTH" "I don't know why you would do this, but imagine trying to make a very crude (and probably useless) compass out of two Spoons joined back to back. But if it did work, it would of course point North"  "北部：ほくぶ" "北東：ほくとう" "北北東：ほくほくとう" "東北：とうほく" "北口：きたぐち" 
"百二十三" "比" "COMPARE, contrast, match | PHONETIC (ひ)" "Imagine holding two slightly different spoons together with the same orientation; in this way you can easily Compare their shape. Note the stroke order"  "無比：むひ" "比を見ない" "比べる：くらべる" "Aと比べて：Aと比べて" "日比：にちひ" 
"百二十四" "背" "BACK; stature" "Two spoons Back to Back again, but this time we have 月 meaning flesh – thus giving us the actual body part, Back"  "背部：はいぶ" "背比べ：せいくらべ" "背中：せなか" "背く：そむく" "背ける：そむける" 
"百二十五" "車" "VEHICLE, car | WHEEL" "Like making a lego car: a wheel, the chassis, the other wheel, and then the axle passing through them"  "車体：しゃたい" "人力車：じんりきしゃ" "下車する：げしゃする" "車で行く：くるまでいく" "水車：すいしゃ" 
"百二十六" "気" "GAS | SPIRIT"   "気体：きたい" "大気：たいき" "本気：ほんき" "やる気：やるき" "気に入る：きにいる" 
"百二十七" "汽" "STEAM" "Water + gas = steam"  "汽車：きしゃ"     
"百二十八" "性" "NATURE, innate quality | SEX, gender | ""__ITY""" "Left: heart / mind. Right: life / to be born. Together, they mean the heart or mind we are born with – our Nature"  "人の生：ひとのせい" "本性：ほんしょう" "男性：だんせい" "性別：せいべつ" "安定性：あんていせい" 
"百二十九" "畑" "(cultivated) FIELD" "Imagine setting Fire to a plain old Rice field, to clear it for Cultivation (of another crop)"  "田畑：たはた・でんばた" "花畑：はなばたけ" "コーヒー畑：コーヒーばたけ"   
